saga_id,order_id,step_number,step_name,command_type,status,started_at,completed_at,duration_ms
order-e50bd02a,order-e50bd02a,1,OrderCreated,forward,completed,2025-09-15 10:08:00,2025-09-15 10:08:00,0.0
order-e6da7757,order-e6da7757,1,OrderCreated,forward,completed,2025-09-15 10:07:59,2025-09-15 10:07:59,0.0
order-e7ffce1e,order-e7ffce1e,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-e806fcb9,order-e806fcb9,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-e88d07bc,order-e88d07bc,1,OrderCreated,forward,completed,2025-09-15 10:07:50,2025-09-15 10:07:50,0.0
order-e9a8f3b8,order-e9a8f3b8,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-eef18fea,order-eef18fea,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-f1073ead,order-f1073ead,1,OrderCreated,forward,completed,2025-09-15 10:07:51,2025-09-15 10:07:51,0.0
order-f11d8b61,order-f11d8b61,1,OrderCreated,forward,completed,2025-09-15 10:07:53,2025-09-15 10:07:53,0.0
order-f39b546b,order-f39b546b,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-f4082cbd,order-f4082cbd,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-f691b05e,order-f691b05e,1,OrderCreated,forward,completed,2025-09-15 10:07:54,2025-09-15 10:07:54,0.0
order-f78fd49b,order-f78fd49b,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-f7aad43f,order-f7aad43f,1,OrderCreated,forward,completed,2025-09-15 10:08:02,2025-09-15 10:08:02,0.0
order-f847bd28,order-f847bd28,1,OrderCreated,forward,completed,2025-09-15 10:07:56,2025-09-15 10:07:56,0.0
order-f8f12b4e,order-f8f12b4e,1,OrderCreationFailed,compensation,completed,2025-09-15 10:07:40,2025-09-15 10:07:40,0.0
order-febb0f2d,order-febb0f2d,1,OrderCreated,forward,completed,2025-09-15 10:07:52,2025-09-15 10:07:52,0.0
order-ff6d60fd,order-ff6d60fd,1,OrderCreated,forward,completed,2025-09-15 10:07:38,2025-09-15 10:07:38,0.0
